employee_id,NewColumn,address,age,birthdate,blood_group,boolean,company,employee_id,job,latitude,longitude,mail,name,residence,sex,ssn,username,website
1.0,-35.32858091900264,"280 Dylan Street Apt. 461
Buckleyview, CO 50181",3.0,2016-05-03,B-,1.0,Richard-Stark,1.0,Warden/ranger,-1.356349,49.4254755,kelleykatherine@gmail.com,Richard Mccormick,"019 Porter Lodge Apt. 603
East Phillipland, KS 98062",M,728-04-6308,garrettmichael,['https://moran.com/']
2.0,58.00885881713528,"710 David Centers
Lake Paulland, ND 52877",45.0,1974-06-10,AB+,0.0,Ross-Williamson,2.0,Chartered loss adjuster,97.38847,89.2160945,james03@gmail.com,Melissa Weaver,"7460 Bradley Hill
New Rodneyborough, ND 06857",F,553-10-6614,donna83,"['http://jackson.com/', 'http://acosta.biz/', 'https://www.holder-davis.com/', 'https://www.smith.org/']"
3.0,9.275380237198492,"USNV Stephenson
FPO AA 03593",71.0,1948-05-30,O+,0.0,Moon Inc,3.0,Television production assistant,-91.713697,-53.677693,staceydickerson@gmail.com,Paul Carter,"3156 Joseph Spur
North Jeffrey, FL 82489",M,832-11-8909,kayla85,"['http://www.perkins.biz/', 'https://spencer-ryan.com/', 'https://www.stephenson-young.com/']"
4.0,108.19536314892906,"05445 Castro Underpass Suite 971
Port Joelstad, NE 98490",56.0,1963-08-22,A-,1.0,"Sanchez, Allen and Harris",4.0,Financial planner,121.595864,50.186278,elliottian@yahoo.com,Kerry Watts,"430 Tran Turnpike Suite 863
Jasonport, MS 20925",F,018-20-5539,rrichardson,"['https://www.jones.com/', 'http://howard-farley.biz/']"
5.0,-24.17481600862719,"41580 Crawford Crest Apt. 290
East Stephanie, WV 88754",4.0,2015-02-26,AB+,0.0,"Anderson, Young and Deleon",5.0,Location manager,-22.925124,-0.8961165,xhall@yahoo.com,Kristine Marsh,"68523 Sarah Burgs
Harttown, MD 38727",F,209-89-1608,ashleyfernandez,"['http://www.johnson.com/', 'https://www.gonzales-johnson.com/']"
6.0,56.818957555813554,"886 Coleman Rue Apt. 578
North Anthony, IL 30697",107.0,1912-03-18,B+,1.0,Baker Ltd,6.0,Ship broker,46.385656,-30.981401,gflores@hotmail.com,Caroline Watts,"354 Phillip Villages Suite 279
West Jacob, ME 68366",F,444-04-2650,heathermoore,"['https://www.wise.info/', 'https://perkins.org/', 'http://www.johnson.net/']"
7.0,63.142676617432876,"8518 Haley Vista Suite 443
Bridgetland, NM 78148",68.0,1951-01-22,AB+,0.0,Jordan Inc,7.0,"Engineer, manufacturing",-62.026336,-41.003347,nicholasbender@yahoo.com,Brittany Noble,"447 Santana Glens
North Pamelamouth, WV 48665",F,779-06-0305,bethanydowns,"['http://rivera.info/', 'http://www.beck.info/', 'http://www.fisher.biz/']"
8.0,119.83074100965294,"0629 Mckinney Junction Apt. 027
Lake Robinport, KS 45548",30.0,1988-12-27,A-,1.0,Silva-Williams,8.0,Armed forces logistics/support/administrative officer,-27.741041,-28.1093265,ckelly@gmail.com,Michelle Dunn,"299 Merritt Hills
Gardnerstad, AL 75788",F,017-53-0066,david91,"['https://ryan.com/', 'http://farley.com/']"
9.0,36.02747584660969,"730 Amanda Vista Suite 195
Lopezton, VT 38676",51.0,1968-10-23,A-,1.0,Cummings Ltd,9.0,Teaching laboratory technician,-104.752941,82.4188325,darin76@yahoo.com,Mrs. Elizabeth Meza DVM,"2574 Paula Course Apt. 449
Orozcoview, DE 96812",F,406-10-8311,guerramichelle,"['http://www.ritter-brown.net/', 'http://cannon.net/', 'http://nguyen.com/']"
10.0,-47.56977079462262,"45573 Michael Motorway
Port Stephen, AL 33636",77.0,1942-01-28,AB-,1.0,"Sanchez, Travis and Smith",10.0,"Designer, fashion/clothing",-67.392367,-23.7359055,jalvarez@hotmail.com,Rodney Ray,"297 Mccullough Loop
Sanchezberg, DC 56228",M,165-92-8886,lsmith,"['http://smith-bowman.com/', 'https://wright-harrell.com/', 'http://www.williams.com/', 'http://dawson.com/']"
